"File: C:\Documents and Settings\Yingxiao Wang\My Documents\lab_members\Jihye\FA dynamics\Src\102408_Src + mcherry pax\2\2-1.log"
"Date: Fri Oct 24 2008 12:5:42.921"
0.00, "Wavelength Names:	CFP	FRET	transmitted light	RFP	open"
"Time (sec)"
14.86
"Region 1: [Location: (124, 143), Size: (128, 104), Area: 10352]"
"Region 2: [Location: (290, 146), Size: (111, 94), Area: 8108]"
"Region 3: [Location: (166, 264), Size: (163, 129), Area: 16347]"
"Time (sec)", "R1 W1 Avg", "R1 W1 Sum", "R1 W1 Area", "R1 W2 Avg", "R1 W2 Sum", "R1 W2 Area", "R1 W3 Avg", "R1 W3 Sum", "R1 W3 Area", "R1 W4 Avg", "R1 W4 Sum", "R1 W4 Area", "R1 R1", "R2 W1 Avg", "R2 W1 Sum", "R2 W1 Area", "R2 W2 Avg", "R2 W2 Sum", "R2 W2 Area", "R2 W3 Avg", "R2 W3 Sum", "R2 W3 Area", "R2 W4 Avg", "R2 W4 Sum", "R2 W4 Area", "R2 R1", "R3 W1 Avg", "R3 W1 Sum", "R3 W1 Area", "R3 W2 Avg", "R3 W2 Sum", "R3 W2 Area", "R3 W3 Avg", "R3 W3 Sum", "R3 W3 Area", "R3 W4 Avg", "R3 W4 Sum", "R3 W4 Area", "R3 R1"
614.00, 5910.45, 61184968.00, 10352.00, 8318.51, 86113169.00, 10352.00, 0.00, 0.00, 0.00, 1669.51, 17282722.00, 10352.00, 0.72, 5414.91, 43904096.00, 8108.00, 6862.33, 55639760.00, 8108.00, 0.00, 0.00, 0.00, 1658.25, 13445067.00, 8108.00, 0.80, 5647.92, 92326502.00, 16347.00, 7650.22, 125058227.00, 16347.00, 0.00, 0.00, 0.00, 1665.68, 27228810.00, 16347.00, 0.75
660.76, 5923.26, 61317632.00, 10352.00, 8228.89, 85185466.00, 10352.00, 0.00, 0.00, 0.00, 1702.92, 17628626.00, 10352.00, 0.73, 5441.07, 44116220.00, 8108.00, 6852.51, 55560146.00, 8108.00, 0.00, 0.00, 0.00, 1692.13, 13719750.00, 8108.00, 0.81, 5691.10, 93032430.00, 16347.00, 7598.42, 124211356.00, 16347.00, 0.00, 0.00, 0.00, 1700.69, 27801179.00, 16347.00, 0.76
720.76, 5990.00, 62008509.00, 10352.00, 8208.82, 84977691.00, 10352.00, 0.00, 0.00, 0.00, 1734.50, 17955569.00, 10352.00, 0.74, 5485.18, 44473857.00, 8108.00, 6853.41, 55567421.00, 8108.00, 0.00, 0.00, 0.00, 1723.92, 13977559.00, 8108.00, 0.81, 5729.29, 93656732.00, 16347.00, 7584.12, 123977630.00, 16347.00, 0.00, 0.00, 0.00, 1734.13, 28347775.00, 16347.00, 0.77
780.76, 6001.09, 62123244.00, 10352.00, 8138.71, 84251940.00, 10352.00, 0.00, 0.00, 0.00, 1750.47, 18120881.00, 10352.00, 0.75, 5517.66, 44737227.00, 8108.00, 6813.17, 55241213.00, 8108.00, 0.00, 0.00, 0.00, 1740.03, 14108131.00, 8108.00, 0.82, 5758.88, 94140346.00, 16347.00, 7543.59, 123315046.00, 16347.00, 0.00, 0.00, 0.00, 1750.17, 28610109.00, 16347.00, 0.77
840.76, 6033.98, 62463788.00, 10352.00, 8018.49, 83007372.00, 10352.00, 0.00, 0.00, 0.00, 1758.44, 18203407.00, 10352.00, 0.76, 5548.50, 44987252.00, 8108.00, 6733.89, 54598386.00, 8108.00, 0.00, 0.00, 0.00, 1748.73, 14178700.00, 8108.00, 0.84, 5795.70, 94742338.00, 16347.00, 7447.30, 121740988.00, 16347.00, 0.00, 0.00, 0.00, 1758.41, 28744671.00, 16347.00, 0.79
900.76, 6055.91, 62690792.00, 10352.00, 7842.36, 81184093.00, 10352.00, 0.00, 0.00, 0.00, 1761.85, 18238667.00, 10352.00, 0.78, 5565.07, 45121567.00, 8108.00, 6649.35, 53912954.00, 8108.00, 0.00, 0.00, 0.00, 1752.70, 14210890.00, 8108.00, 0.85, 5808.68, 94954558.00, 16347.00, 7329.56, 119816368.00, 16347.00, 0.00, 0.00, 0.00, 1762.25, 28807456.00, 16347.00, 0.80
960.76, 6078.42, 62923805.00, 10352.00, 7740.10, 80125464.00, 10352.00, 0.00, 0.00, 0.00, 1763.96, 18260510.00, 10352.00, 0.80, 5565.25, 45123034.00, 8108.00, 6567.25, 53247247.00, 8108.00, 0.00, 0.00, 0.00, 1755.09, 14230274.00, 8108.00, 0.86, 5825.82, 95234717.00, 16347.00, 7247.70, 118478133.00, 16347.00, 0.00, 0.00, 0.00, 1766.24, 28872780.00, 16347.00, 0.82
1020.76, 6095.41, 63099654.00, 10352.00, 7570.92, 78374157.00, 10352.00, 0.00, 0.00, 0.00, 1761.03, 18230208.00, 10352.00, 0.82, 5627.79, 45630143.00, 8108.00, 6460.37, 52380666.00, 8108.00, 0.00, 0.00, 0.00, 1755.01, 14229583.00, 8108.00, 0.88, 5859.66, 95787886.00, 16347.00, 7109.76, 116223295.00, 16347.00, 0.00, 0.00, 0.00, 1764.12, 28838142.00, 16347.00, 0.84
1071.45, 6091.53, 63059488.00, 10352.00, 7477.40, 77406038.00, 10352.00, 0.00, 0.00, 0.00, 1702.21, 17621245.00, 10352.00, 0.83, 5524.55, 44793022.00, 8108.00, 6261.58, 50768929.00, 8108.00, 0.00, 0.00, 0.00, 1694.50, 13739042.00, 8108.00, 0.90, 5811.03, 94992841.00, 16347.00, 6945.83, 113543474.00, 16347.00, 0.00, 0.00, 0.00, 1705.72, 27883466.00, 16347.00, 0.85
1131.45, 6201.49, 64197860.00, 10352.00, 7484.92, 77483937.00, 10352.00, 0.00, 0.00, 0.00, 1740.86, 18021371.00, 10352.00, 0.84, 5644.63, 45766623.00, 8108.00, 6332.56, 51344402.00, 8108.00, 0.00, 0.00, 0.00, 1737.05, 14084021.00, 8108.00, 0.90, 5908.60, 96587856.00, 16347.00, 6952.46, 113651858.00, 16347.00, 0.00, 0.00, 0.00, 1746.21, 28545254.00, 16347.00, 0.86
1191.45, 6301.91, 65237364.00, 10352.00, 7451.60, 77138935.00, 10352.00, 0.00, 0.00, 0.00, 1750.74, 18123656.00, 10352.00, 0.86, 5721.05, 46386235.00, 8108.00, 6307.78, 51143494.00, 8108.00, 0.00, 0.00, 0.00, 1748.18, 14174249.00, 8108.00, 0.92, 5993.08, 97968846.00, 16347.00, 6929.87, 113282603.00, 16347.00, 0.00, 0.00, 0.00, 1757.41, 28728307.00, 16347.00, 0.88
1251.45, 6401.33, 66266525.00, 10352.00, 7538.22, 78035653.00, 10352.00, 0.00, 0.00, 0.00, 1755.29, 18170746.00, 10352.00, 0.86, 5767.22, 46760638.00, 8108.00, 6362.15, 51584310.00, 8108.00, 0.00, 0.00, 0.00, 1753.48, 14217202.00, 8108.00, 0.92, 6080.53, 99398476.00, 16347.00, 6987.78, 114229159.00, 16347.00, 0.00, 0.00, 0.00, 1762.68, 28814489.00, 16347.00, 0.88
1311.45, 6446.40, 66733129.00, 10352.00, 7512.99, 77774502.00, 10352.00, 0.00, 0.00, 0.00, 1759.87, 18218182.00, 10352.00, 0.87, 5826.11, 47238111.00, 8108.00, 6397.08, 51867521.00, 8108.00, 0.00, 0.00, 0.00, 1758.73, 14259765.00, 8108.00, 0.92, 6143.33, 100425067.00, 16347.00, 7012.89, 114639697.00, 16347.00, 0.00, 0.00, 0.00, 1765.33, 28857874.00, 16347.00, 0.89
1371.45, 6467.72, 66953873.00, 10352.00, 7466.72, 77295503.00, 10352.00, 0.00, 0.00, 0.00, 1760.74, 18227211.00, 10352.00, 0.88, 5875.63, 47639582.00, 8108.00, 6422.85, 52076468.00, 8108.00, 0.00, 0.00, 0.00, 1761.47, 14282019.00, 8108.00, 0.93, 6201.38, 101373985.00, 16347.00, 7025.00, 114837655.00, 16347.00, 0.00, 0.00, 0.00, 1765.69, 28863738.00, 16347.00, 0.90
1431.45, 6482.52, 67107066.00, 10352.00, 7410.61, 76714625.00, 10352.00, 0.00, 0.00, 0.00, 1761.30, 18232937.00, 10352.00, 0.89, 5882.54, 47695604.00, 8108.00, 6402.73, 51913353.00, 8108.00, 0.00, 0.00, 0.00, 1764.86, 14309516.00, 8108.00, 0.93, 6215.27, 101601042.00, 16347.00, 6994.33, 114336327.00, 16347.00, 0.00, 0.00, 0.00, 1766.86, 28882893.00, 16347.00, 0.90
1491.45, 6459.21, 66865783.00, 10352.00, 7353.71, 76125568.00, 10352.00, 0.00, 0.00, 0.00, 1761.42, 18234182.00, 10352.00, 0.89, 5917.12, 47976008.00, 8108.00, 6424.31, 52088314.00, 8108.00, 0.00, 0.00, 0.00, 1766.69, 14324303.00, 8108.00, 0.93, 6221.57, 101703981.00, 16347.00, 6927.32, 113240861.00, 16347.00, 0.00, 0.00, 0.00, 1767.44, 28892329.00, 16347.00, 0.91
1551.45, 6509.20, 67383240.00, 10352.00, 7344.17, 76026888.00, 10352.00, 0.00, 0.00, 0.00, 1762.71, 18247561.00, 10352.00, 0.90, 6000.31, 48650529.00, 8108.00, 6500.47, 52705810.00, 8108.00, 0.00, 0.00, 0.00, 1765.94, 14318272.00, 8108.00, 0.94, 6220.55, 101687347.00, 16347.00, 6897.64, 112755650.00, 16347.00, 0.00, 0.00, 0.00, 1766.75, 28881031.00, 16347.00, 0.91
1609.48, 6511.61, 67408162.00, 10352.00, 7377.41, 76370964.00, 10352.00, 0.00, 0.00, 0.00, 1730.93, 17918639.00, 10352.00, 0.90, 5909.63, 47915308.00, 8108.00, 6413.17, 51997958.00, 8108.00, 0.00, 0.00, 0.00, 1728.19, 14012195.00, 8108.00, 0.94, 6166.83, 100809202.00, 16347.00, 6845.43, 111902243.00, 16347.00, 0.00, 0.00, 0.00, 1736.06, 28379293.00, 16347.00, 0.91
1669.48, 6575.53, 68069854.00, 10352.00, 7407.99, 76687487.00, 10352.00, 0.00, 0.00, 0.00, 1762.03, 18240581.00, 10352.00, 0.90, 6014.85, 48768383.00, 8108.00, 6525.13, 52905792.00, 8108.00, 0.00, 0.00, 0.00, 1753.89, 14220504.00, 8108.00, 0.94, 6268.16, 102465568.00, 16347.00, 6922.01, 113154092.00, 16347.00, 0.00, 0.00, 0.00, 1771.57, 28959787.00, 16347.00, 0.92
1729.48, 6647.35, 68813338.00, 10352.00, 7467.69, 77305559.00, 10352.00, 0.00, 0.00, 0.00, 1769.34, 18316205.00, 10352.00, 0.90, 6050.62, 49058438.00, 8108.00, 6522.86, 52887359.00, 8108.00, 0.00, 0.00, 0.00, 1757.78, 14252070.00, 8108.00, 0.94, 6319.52, 103305227.00, 16347.00, 6966.19, 113876307.00, 16347.00, 0.00, 0.00, 0.00, 1783.92, 29161749.00, 16347.00, 0.92
1789.48, 6661.21, 68956804.00, 10352.00, 7470.63, 77335990.00, 10352.00, 0.00, 0.00, 0.00, 1771.38, 18337322.00, 10352.00, 0.90, 6078.36, 49283379.00, 8108.00, 6550.52, 53111637.00, 8108.00, 0.00, 0.00, 0.00, 1758.64, 14259024.00, 8108.00, 0.94, 6490.04, 106092736.00, 16347.00, 7221.25, 118045801.00, 16347.00, 0.00, 0.00, 0.00, 1791.75, 29289685.00, 16347.00, 0.91
1849.48, 6663.26, 68978065.00, 10352.00, 7430.06, 76916018.00, 10352.00, 0.00, 0.00, 0.00, 1777.32, 18398831.00, 10352.00, 0.91, 6091.08, 49386440.00, 8108.00, 6518.39, 52851142.00, 8108.00, 0.00, 0.00, 0.00, 1761.99, 14286193.00, 8108.00, 0.95, 6525.52, 106672685.00, 16347.00, 7252.93, 118563671.00, 16347.00, 0.00, 0.00, 0.00, 1795.01, 29343050.00, 16347.00, 0.91
1909.48, 6679.53, 69146517.00, 10352.00, 7429.75, 76912781.00, 10352.00, 0.00, 0.00, 0.00, 1784.87, 18477024.00, 10352.00, 0.91, 6093.31, 49404570.00, 8108.00, 6462.98, 52401820.00, 8108.00, 0.00, 0.00, 0.00, 1763.13, 14295488.00, 8108.00, 0.96, 6480.29, 105933324.00, 16347.00, 7176.16, 117308698.00, 16347.00, 0.00, 0.00, 0.00, 1789.33, 29250130.00, 16347.00, 0.92
1969.48, 6780.80, 70194866.00, 10352.00, 7599.97, 78674885.00, 10352.00, 0.00, 0.00, 0.00, 1788.16, 18510996.00, 10352.00, 0.90, 6042.74, 48994512.00, 8108.00, 6422.46, 52073284.00, 8108.00, 0.00, 0.00, 0.00, 1764.12, 14303467.00, 8108.00, 0.95, 6415.28, 104870582.00, 16347.00, 7057.92, 115375869.00, 16347.00, 0.00, 0.00, 0.00, 1788.88, 29242826.00, 16347.00, 0.92
